datetime,Americano,Americano with Milk,Cappuccino,Cocoa,Cortado,Espresso,Hot Chocolate,Latte
2024-06-11,0,3,0,0,0,0,1,2
2024-06-12,0,1,1,0,0,0,2,2
2024-06-13,1,5,0,0,1,2,1,2
2024-06-14,1,1,0,0,1,0,0,1
2024-06-15,1,3,1,1,0,1,0,1
2024-06-16,0,6,0,0,0,1,4,1
2024-06-17,3,1,4,0,2,0,0,0
2024-06-18,1,2,3,0,1,0,0,0
2024-06-19,1,3,2,1,1,0,0,3
2024-06-20,0,1,0,0,0,0,0,5
2024-06-21,2,3,4,0,0,1,0,2
2024-06-22,0,2,1,0,1,0,0,1
2024-06-23,0,2,2,0,0,0,0,1
2024-06-24,0,1,4,0,0,0,0,1
2024-06-25,0,2,1,0,0,0,0,1
2024-06-26,1,1,1,0,0,1,0,2
2024-06-27,0,2,1,0,1,0,0,0
2024-06-28,0,1,1,0,1,1,0,1
2024-06-29,0,3,3,0,0,0,1,1
2024-06-30,0,1,0,0,0,1,1,1
2024-07-01,0,0,2,0,0,1,0,0
2024-07-02,2,3,0,0,0,0,0,1
2024-07-03,0,3,3,0,0,1,0,2
2024-07-04,1,1,0,0,0,0,0,0
2024-07-05,3,3,1,1,0,2,0,0
2024-07-06,0,1,0,0,0,0,0,4
2024-07-07,0,3,4,1,0,0,2,1
2024-07-08,2,1,0,0,0,0,0,2
2024-07-09,0,4,1,0,0,0,0,0
2024-07-10,1,1,0,0,0,0,0,1
2024-07-11,1,1,0,0,0,0,1,1
2024-07-12,0,0,0,0,1,0,4,0
2024-07-13,0,0,0,0,0,0,0,2
2024-07-14,2,1,1,0,0,0,0,2
2024-07-15,0,0,1,0,0,0,0,0
2024-07-16,0,1,0,0,0,0,1,0
2024-07-17,0,1,0,0,0,0,0,0
2024-07-18,2,1,1,0,1,1,1,4
2024-07-19,1,2,0,1,0,0,0,4
2024-07-20,3,0,0,0,0,0,0,4
2024-07-21,0,0,1,1,1,0,0,1
2024-07-22,2,1,0,0,0,0,0,1
2024-07-23,4,3,0,1,0,0,0,4
2024-07-24,2,3,3,0,0,2,0,2
2024-07-25,2,1,2,1,2,1,0,1
2024-07-26,1,4,3,0,2,1,0,5
2024-07-27,0,5,4,0,0,2,0,2
2024-07-28,0,1,0,0,0,1,0,1
2024-07-29,3,2,2,1,0,0,2,1
2024-07-30,2,12,2,0,3,2,0,3
2024-07-31,2,6,1,2,4,0,0,7
2024-08-01,2,6,3,0,1,0,0,0
2024-08-02,0,3,0,0,1,0,0,1
2024-08-03,0,7,1,0,2,1,0,2
2024-08-04,0,2,4,0,0,0,0,0
2024-08-05,0,3,1,2,2,0,0,5
2024-08-06,0,1,1,1,1,0,1,3
2024-08-07,3,1,1,1,0,1,0,3
2024-08-08,0,2,2,0,3,1,0,0
2024-08-09,3,1,0,0,1,0,1,2
2024-08-10,1,2,1,3,2,0,0,2
2024-08-11,0,3,3,1,2,1,0,5
2024-08-12,1,5,2,0,0,1,1,3
2024-08-13,0,5,2,1,2,0,0,3
2024-08-14,3,1,1,0,3,1,0,4
2024-08-15,2,4,2,0,1,2,2,3
2024-08-16,1,1,0,0,0,2,0,1
2024-08-17,0,4,2,0,3,0,0,2
2024-08-18,2,4,3,0,1,0,0,0
2024-08-19,0,2,0,1,0,0,0,1
2024-08-20,3,1,0,0,2,1,0,6
2024-08-21,1,2,0,0,2,0,0,2
2024-08-22,1,2,1,0,1,0,0,2
2024-08-23,5,1,0,1,2,0,1,3
2024-08-24,1,0,0,0,3,2,0,0
2024-08-25,2,0,2,0,1,0,0,1
2024-08-26,4,3,1,0,1,0,0,2
2024-08-27,0,0,0,0,0,0,0,1
2024-08-28,1,2,1,0,0,0,0,0
2024-08-29,1,0,0,0,0,0,0,0
2024-08-30,0,2,0,0,0,0,0,1
2024-08-31,0,2,0,0,3,1,0,0
2024-09-01,1,3,1,0,1,0,0,4
2024-09-02,2,2,1,1,0,0,0,2
2024-09-03,0,7,2,4,1,0,0,3
2024-09-04,1,4,1,0,0,0,0,4
2024-09-05,3,5,4,0,0,0,0,2
2024-09-06,1,0,1,0,0,3,1,4
2024-09-07,3,3,0,1,4,4,0,7
2024-09-08,1,0,0,0,5,0,0,0
2024-09-09,1,3,2,0,0,1,1,9
2024-09-10,1,2,2,0,2,0,1,2
2024-09-11,0,2,1,0,1,0,0,4
2024-09-12,1,2,2,0,5,1,0,1
2024-09-13,0,2,0,0,0,0,0,4
2024-09-14,0,0,2,0,0,0,0,0
2024-09-15,1,1,1,0,2,1,0,0
2024-09-16,0,5,0,0,0,0,0,6
2024-09-17,0,10,2,0,3,1,3,4
2024-09-18,0,2,0,0,0,0,0,2
2024-09-19,1,2,0,0,2,0,0,1
2024-09-20,1,5,0,0,0,0,0,1
2024-09-21,4,1,1,1,2,0,0,6
2024-09-22,3,12,1,1,2,0,2,3
2024-09-23,2,4,2,0,1,0,0,1
2024-09-24,2,3,1,0,1,0,1,7
2024-09-25,1,6,1,0,1,0,0,1
2024-09-26,0,2,1,0,1,1,0,4
2024-09-27,1,5,7,0,1,0,0,2
2024-09-28,0,3,1,1,1,0,1,4
2024-09-29,1,1,4,0,1,0,0,4
2024-09-30,0,7,0,0,4,0,1,2
2024-10-01,2,7,0,0,0,0,3,3
2024-10-02,0,2,2,0,1,0,4,2
2024-10-03,0,1,1,1,1,0,4,0
2024-10-04,3,1,0,1,2,0,1,1
2024-10-05,2,0,1,1,2,0,0,0
2024-10-06,1,3,5,0,2,1,4,4
2024-10-07,2,2,0,1,0,0,2,5
2024-10-08,4,4,1,0,0,0,1,8
2024-10-09,2,3,2,0,0,2,0,3
2024-10-10,2,2,1,0,2,0,3,5
2024-10-11,5,5,1,3,2,0,5,5
2024-10-12,0,1,1,0,3,0,0,2
2024-10-13,0,1,2,0,3,1,0,2
2024-10-14,3,1,2,1,1,0,0,8
2024-10-15,2,1,0,1,1,2,5,6
2024-10-16,2,8,0,0,0,0,2,2
2024-10-17,1,3,1,0,0,0,7,9
2024-10-18,1,1,3,6,0,0,1,3
2024-10-19,0,1,2,1,0,0,1,4
2024-10-20,0,1,1,4,2,0,2,6
2024-10-21,1,2,1,2,3,1,2,7
2024-10-22,1,1,1,0,2,1,1,2
2024-10-23,0,5,2,1,1,1,1,2
2024-10-24,4,0,3,0,0,0,4,4
2024-10-25,2,1,2,4,1,2,1,2
2024-10-26,1,4,3,1,3,0,0,4
2024-10-27,0,2,1,0,0,0,0,2
2024-10-28,1,7,3,2,0,0,1,4
2024-10-29,0,4,2,2,2,1,2,5
2024-10-30,2,6,0,0,0,0,1,7
2024-10-31,0,2,0,0,0,0,0,3
2024-11-01,1,1,0,3,1,0,0,1
2024-11-02,1,3,0,1,1,0,1,2
2024-11-03,3,4,0,2,1,0,2,1
2024-11-04,1,2,0,2,0,0,0,2
2024-11-05,0,4,4,4,0,0,2,3
2024-11-06,1,0,2,0,0,1,2,2
2024-11-07,2,0,0,1,0,0,1,3
2024-11-08,2,3,1,0,0,0,3,3
2024-11-09,4,2,0,2,2,0,4,3
2024-11-10,1,0,2,1,0,0,2,0
2024-11-11,0,1,3,0,1,0,2,3
2024-11-12,0,0,1,2,0,0,2,4
2024-11-13,0,4,0,0,0,0,0,2
2024-11-14,1,1,3,1,0,1,3,4
2024-11-15,1,5,0,2,0,0,1,2
2024-11-16,1,3,1,0,2,0,1,5
2024-11-17,1,3,0,0,0,0,3,2
2024-11-18,0,2,0,0,0,0,0,4
2024-11-19,0,2,2,3,0,1,0,3
2024-11-20,0,1,1,0,0,0,1,1
2024-11-21,0,1,0,2,2,0,1,2
2024-11-22,0,0,1,1,0,0,1,3
2024-11-23,2,0,1,0,2,0,1,2
2024-11-24,0,0,0,0,0,0,0,1
2024-11-25,0,2,2,0,1,0,3,3
2024-11-26,2,1,0,4,0,0,0,3
2024-11-27,0,0,0,0,0,0,0,0
2024-11-28,0,2,2,0,0,0,0,2
2024-11-29,0,3,0,2,0,0,0,2
2024-11-30,1,2,0,2,0,0,1,0
